season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2026,Ron Holland,hollaro01,20.0,DET,SF,31,5.0,644.0,11.4,0.512,0.354,0.279,4.8,15.8,10.4,9.7,3.3,1.1,13.9,18.7,-0.1,1.1,1.0,0.075,-3.5,1.5,-2.0,0.0
2026,Chet Holmgren,holmgch01,23.0,OKC,PF,29,29.0,831.0,20.9,0.664,0.306,0.317,6.1,23.7,15.4,8.1,0.9,6.0,12.5,23.6,1.6,2.0,3.5,0.203,1.6,1.4,3.0,1.1
2026,Kevin Huerter,huertke01,27.0,CHI,SF,28,8.0,673.0,13.5,0.579,0.543,0.17,2.2,13.3,7.9,13.2,1.6,2.3,10.4,19.6,0.4,0.5,0.9,0.063,-1.0,-0.1,-1.1,0.2
2026,Jay Huff,huffja01,27.0,IND,C,34,18.0,662.0,14.4,0.546,0.68,0.187,5.4,16.4,10.6,10.2,0.9,10.4,10.3,17.2,0.2,0.9,1.1,0.081,-1.7,2.0,0.3,0.4
2026,De'Andre Hunter,huntede01,28.0,CLE,SF,30,23.0,833.0,12.2,0.559,0.503,0.299,2.5,14.0,8.1,10.4,1.2,0.5,10.1,21.7,0.5,0.7,1.2,0.07,-2.0,-1.2,-3.2,-0.2
2026,Oso Ighodaro,ighodos01,23.0,PHO,PF,33,7.0,633.0,10.8,0.585,0.008,0.238,6.9,18.9,12.7,12.6,2.1,2.6,22.3,11.8,0.2,0.9,1.0,0.079,-4.0,2.0,-1.9,0.0
2026,Brandon Ingram,ingrabr01,28.0,TOR,SF,35,35.0,1200.0,15.5,0.56,0.291,0.267,2.6,16.6,9.5,17.3,1.1,1.8,12.6,27.9,0.0,1.4,1.5,0.059,0.2,-0.7,-0.5,0.5
2026,Isaiah Jackson,jacksis01,24.0,IND,C,29,14.0,530.0,16.4,0.626,0.0,0.437,14.0,20.7,17.2,6.9,1.9,4.0,16.3,16.0,0.7,0.7,1.4,0.126,-2.5,0.2,-2.3,0.0
2026,Jaren Jackson Jr.,jacksja02,26.0,MEM,C,31,31.0,934.0,14.8,0.57,0.327,0.299,3.2,16.8,10.1,10.4,1.4,4.7,11.7,25.0,0.0,1.4,1.4,0.072,-1.6,0.8,-0.8,0.3
2026,Sion James,jamessi01,23.0,CHO,SG,33,15.0,851.0,8.3,0.572,0.607,0.327,2.3,11.6,7.0,8.3,1.3,1.4,12.3,10.8,0.5,0.4,1.0,0.054,-3.2,-0.1,-3.3,-0.3
2026,Jaime Jaquez Jr.,jaqueja01,24.0,MIA,SF,32,1.0,949.0,16.0,0.581,0.137,0.289,4.5,14.2,9.4,23.2,1.2,0.7,13.4,22.5,1.0,1.1,2.1,0.106,0.0,0.5,0.5,0.6
2026,Isaiah Joe,joeis01,26.0,OKC,SG,25,0.0,517.0,15.6,0.67,0.821,0.234,2.9,10.8,7.0,9.3,1.3,0.8,8.6,18.5,1.1,0.9,2.0,0.187,2.2,0.0,2.2,0.6
